Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
1,60,RL,65.0,8450,Pave,Reg,Lvl,3,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,196.0,3,TA,PConc,4,3,No,6,706.0,1,0.0,150.0,856.0,GasA,4,Y,SBrkr,856,854,0,1710,1.0,0.0,2,1,3,1,3,8,7,0,Attchd,2003.0,2,2.0,548.0,3,3,2,0,61,0,0,0,0,0,Feb,2008,WD,Normal
2,20,RL,80.0,9600,Pave,Reg,Lvl,3,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,0.0,2,TA,CBlock,4,3,Gd,5,978.0,1,0.0,284.0,1262.0,GasA,4,Y,SBrkr,1262,0,0,1262,0.0,1.0,2,0,3,1,2,6,7,1,Attchd,1976.0,2,2.0,460.0,3,3,2,298,0,0,0,0,0,0,May,2007,WD,Normal
3,60,RL,68.0,11250,Pave,IR1,Lvl,3,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,162.0,3,TA,PConc,4,3,Mn,6,486.0,1,0.0,434.0,920.0,GasA,4,Y,SBrkr,920,866,0,1786,1.0,0.0,2,1,3,1,3,6,7,1,Attchd,2001.0,2,2.0,608.0,3,3,2,0,42,0,0,0,0,0,Sep,2008,WD,Normal
4,70,RL,60.0,9550,Pave,IR1,Lvl,3,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,0.0,2,TA,BrkTil,3,4,No,5,216.0,1,0.0,540.0,756.0,GasA,3,Y,SBrkr,961,756,0,1717,1.0,0.0,1,0,3,1,3,7,7,1,Detchd,1998.0,1,3.0,642.0,3,3,2,0,35,272,0,0,0,0,Feb,2006,WD,Abnorml
5,60,RL,84.0,14260,Pave,IR1,Lvl,3,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,350.0,3,TA,PConc,4,3,Av,6,655.0,1,0.0,490.0,1145.0,GasA,4,Y,SBrkr,1145,1053,0,2198,1.0,0.0,2,1,4,1,3,9,7,1,Attchd,2000.0,2,3.0,836.0,3,3,2,192,84,0,0,0,0,0,Dec,2008,WD,Normal
6,50,RL,85.0,14115,Pave,IR1,Lvl,3,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,0.0,2,TA,Wood,4,3,No,6,732.0,1,0.0,64.0,796.0,GasA,4,Y,SBrkr,796,566,0,1362,1.0,0.0,1,1,1,1,2,5,7,0,Attchd,1993.0,1,2.0,480.0,3,3,2,40,30,0,320,0,0,700,Oct,2009,WD,Normal
7,20,RL,75.0,10084,Pave,Reg,Lvl,3,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,186.0,3,TA,PConc,5,3,Av,6,1369.0,1,0.0,317.0,1686.0,GasA,4,Y,SBrkr,1694,0,0,1694,1.0,0.0,2,0,3,1,3,7,7,1,Attchd,2004.0,2,2.0,636.0,3,3,2,255,57,0,0,0,0,0,Aug,2007,WD,Normal
8,60,RL,82.69041769041769,10382,Pave,IR1,Lvl,3,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,240.0,2,TA,CBlock,4,3,Mn,5,859.0,4,32.0,216.0,1107.0,GasA,4,Y,SBrkr,1107,983,0,2090,1.0,0.0,2,1,3,1,2,7,7,2,Attchd,1973.0,2,2.0,484.0,3,3,2,235,204,228,0,0,0,350,Nov,2009,WD,Normal
9,50,RM,51.0,6120,Pave,Reg,Lvl,3,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,0.0,2,TA,BrkTil,3,3,No,1,0.0,1,0.0,952.0,952.0,GasA,3,Y,FuseF,1022,752,0,1774,0.0,0.0,2,0,2,2,2,8,6,2,Detchd,1931.0,1,2.0,468.0,2,3,2,90,0,205,0,0,0,0,Apr,2008,WD,Abnorml
10,190,RL,50.0,7420,Pave,Reg,Lvl,3,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,0.0,2,TA,BrkTil,3,3,No,6,851.0,1,0.0,140.0,991.0,GasA,4,Y,SBrkr,1077,0,0,1077,1.0,0.0,1,0,2,2,2,5,7,2,Attchd,1939.0,2,1.0,205.0,4,3,2,0,4,0,0,0,0,0,Jan,2008,WD,Normal
